area_Name,area_Id,area_City,City ID
الديوك التحتا,728,Jericho,8
كتف الواد,619,Jericho,8
الجهالين,474,Jericho,8
النبي موسى,227,Jericho,8
ديرحجلة,226,Jericho,8
مخيم عقبة جبر,225,Jericho,8
دير القلط,224,Jericho,8
اريحا,223,Jericho,8
مخيم عين السلطان,222,Jericho,8
النويعمة,221,Jericho,8
العوجا,220,Jericho,8
فصايل,219,Jericho,8
مفرق الصاحب,1011,Hebron,3
جبل الرحمة,962,Hebron,3
الفحص,961,Hebron,3
كوازيبا,951,Hebron,3
العديسة,950,Hebron,3
البقعة,949,Hebron,3
الجلاجل,948,Hebron,3
كريسه,937,Hebron,3
حدب العلقة,936,Hebron,3
خرسة,935,Hebron,3
شارع ابو غنام,876,Hebron,3
دوقاس /ترقوميا,840,Hebron,3
ضاحية الزيتون,838,Hebron,3
مخيم الفوار,834,Hebron,3
الحرايق,826,Hebron,3
بئر المحجر,822,Hebron,3
الجلدة,819,Hebron,3
ام الدالية,809,Hebron,3
شارع الشلالة,808,Hebron,3
ابو رمان,806,Hebron,3
دير بحه,803,Hebron,3
خلة مناع,802,Hebron,3
حارة الشيخ,800,Hebron,3
خلة الدار,796,Hebron,3
دوار الصحة,787,Hebron,3
عيصى,779,Hebron,3
جبل جوهر,753,Hebron,3
دويربان,743,Hebron,3
لوزة,731,Hebron,3
الحارة التحتا,730,Hebron,3
فرش الهوى,729,Hebron,3
جلدة,712,Hebron,3
الحاووز الاول,710,Hebron,3
جبل الشريف,699,Hebron,3
المنطقة الجنوبية,691,Hebron,3
الحاووز الثاني,677,Hebron,3
ابن رشد,638,Hebron,3
الخليل المدينة,632,Hebron,3
راس الجورة,631,Hebron,3
باب الزاوية,629,Hebron,3
دوار المنارة,628,Hebron,3
السهلة,627,Hebron,3
خاراس,626,Hebron,3
البصة,624,Hebron,3
شارع السلام /كازية السلام,620,Hebron,3
ابو كتيلا,526,Hebron,3
العلقتين,471,Hebron,3
فقيقيس,470,Hebron,3
قرن الثور,469,Hebron,3
المقاطعة/الخليل,468,Hebron,3
الحرس,467,Hebron,3
كنار,466,Hebron,3
سنجر,465,Hebron,3
دوار التحرير,464,Hebron,3
واد الجوز,463,Hebron,3
الهجرة,462,Hebron,3
طرامة,461,Hebron,3
المراجم,460,Hebron,3
الطبقة,459,Hebron,3
شيوخ العروب,458,Hebron,3
جالا,457,Hebron,3
بيت امر,456,Hebron,3
مخيم العروب,455,Hebron,3
صوريف,454,Hebron,3
البلدة القديمة,426,Hebron,3
رأس الجورة,425,Hebron,3
ضاحية اسكان البلدية,424,Hebron,3
عين بني سليم,423,Hebron,3
الشعابة,422,Hebron,3
مفرق الجامعة,421,Hebron,3
واد الهرية,420,Hebron,3
بئر حرم الرامة,419,Hebron,3
الصبة,418,Hebron,3
المسكوبية,417,Hebron,3
نمرة,416,Hebron,3
قيزون,415,Hebron,3
واد التفاح,414,Hebron,3
عين سارة,413,Hebron,3
الرماضين,412,Hebron,3
السموع,411,Hebron,3
شعب البطم,410,Hebron,3
قواويس,409,Hebron,3
خربة صفي,408,Hebron,3
عناب الكبير,407,Hebron,3
التواني,406,Hebron,3
اقطيط,405,Hebron,3
الظاهرية,404,Hebron,3
الركيز,403,Hebron,3
سوسيا,402,Hebron,3
الكرمل,401,Hebron,3
سدة الثعلبة,400,Hebron,3
ام الخير,399,Hebron,3
البرج,398,Hebron,3
البرج,397,Hebron,3
رابود,396,Hebron,3
خشم الكرم,395,Hebron,3
خشم الدرج,394,Hebron,3
الرفاعية,393,Hebron,3
يطا,392,Hebron,3
خلة المية,391,Hebron,3
الكعابنة,390,Hebron,3
كرمة,389,Hebron,3
بيت عمرة,388,Hebron,3
البويب,387,Hebron,3
اسكيك,386,Hebron,3
مريش,385,Hebron,3
الريحية,384,Hebron,3
دير رازح,383,Hebron,3
الصرة,382,Hebron,3
واد الشاجنة,381,Hebron,3
بيت مرسم,380,Hebron,3
بيت الروش الفوقا,379,Hebron,3
بيت الروش التحتا,378,Hebron,3
دير العسل الفوقا,377,Hebron,3
دير العسل التحتا,376,Hebron,3
حدب الفوار,375,Hebron,3
خرسة,374,Hebron,3
المجد,373,Hebron,3
الفوار,372,Hebron,3
طراما,371,Hebron,3
كرزة,370,Hebron,3
طواس,369,Hebron,3
بيرين,368,Hebron,3
سكة,367,Hebron,3
زيف,366,Hebron,3
قلقس,365,Hebron,3
البويرة (البقعة),364,Hebron,3
البورية,363,Hebron,3
قلاع زيتا,362,Hebron,3
دورا,361,Hebron,3
بني نعيم,360,Hebron,3
بيت عوا,359,Hebron,3
عرقان عوض,358,Hebron,3
ديرسامت,357,Hebron,3
الكوم,356,Hebron,3
طاروسة,355,Hebron,3
المورق,354,Hebron,3
حمصة,353,Hebron,3
الخليل المدينة,352,Hebron,3
تفوح,351,Hebron,3
اذنا,350,Hebron,3
بيت عنون,349,Hebron,3
بيت كاحل,348,Hebron,3
ترقومية,347,Hebron,3
الشيوخ,346,Hebron,3
حلحول,345,Hebron,3
سعير,344,Hebron,3
بيت اولا,343,Hebron,3
نوبا,342,Hebron,3
دوار ابن رشد,64,Hebron,3
بزجات زئيف,995,Quds,11
هار حوما,994,Quds,11
رحافيا,993,Quds,11
شارع الكينج ديفد,984,Quds,11
شورش,930,Quds,11
بيت فجان,913,Quds,11
باب حطة,909,Quds,11
رامات شلومه,906,Quds,11
كريات موشيه,905,Quds,11
بيت هكيرم,902,Quds,11
شارع الزهراء,900,Quds,11
شارع صلاح الدين,899,Quds,11
جبل الزيتون,898,Quds,11
ارمون هنتسيف,897,Quds,11
شعاري تصيدك,896,Quds,11
عين كارم,895,Quds,11
جان ساجر,894,Quds,11
باب المغاربه,893,Quds,11
المحطة المركزيه ( شارع يافا ),892,Quds,11
لفتا,891,Quds,11
ماميلا,890,Quds,11
شارع الكينج جورج,889,Quds,11
باب الخليل,888,Quds,11
باب الجديد,887,Quds,11
النبي يعقوب,886,Quds,11
كريات يوفيل,879,Quds,11
جيلو,878,Quds,11
جفعات شاؤول,871,Quds,11
دير ياسين,869,Quds,11
بيت نقوبا,857,Quds,11
المالحة,846,Quds,11
التله الفرنسيه,845,Quds,11
جبل هرتزل,825,Quds,11
رموت,820,Quds,11
القطمون,818,Quds,11
القطمون,817,Quds,11
واد قدوم,815,Quds,11
عين رافا,790,Quds,11
المصرارة,789,Quds,11
تل بيوت,776,Quds,11
ام طوبا,745,Quds,11
عطروت,740,Quds,11
عين نقوبا,733,Quds,11
ابو غوش,732,Quds,11
جفعات زئيف,725,Quds,11
بسجات زئيف,724,Quds,11
طنطور,723,Quds,11
واد الحمص,722,Quds,11
ام ليسون,720,Quds,11
عطروت,719,Quds,11
باب الخليل,711,Quds,11
صوانة,622,Quds,11
عين نقوبة,608,Quds,11
راس العامود,538,Quds,11
الحردوب,537,Quds,11
الشيخ جراح,529,Quds,11
باب الساهرة,513,Quds,11
.,490,Quds,11
العيسوية,489,Quds,11
.,488,Quds,11
واد الجوز,487,Quds,11
شعفاط,486,Quds,11
بيت حنينا,485,Quds,11
شرفات,484,Quds,11
بيت صفافا,483,Quds,11
ام لسون,482,Quds,11
جبل المكبر,481,Quds,11
صور باهر,480,Quds,11
الطور,479,Quds,11
الثوري,478,Quds,11
سلوان,477,Quds,11
باب العامود,476,Quds,11
السوق المركزي,946,beitlahm,4
الدوار الروسي,945,beitlahm,4
شارع القدس الخليل,944,beitlahm,4
شارع الكرتاس,943,beitlahm,4
القبة,942,beitlahm,4
مفرق الراضي,941,beitlahm,4
شارع الصف,940,beitlahm,4
شارع الجبل,939,beitlahm,4
عش غراب,938,beitlahm,4
المنية,921,beitlahm,4
عرب الرشايدة,874,beitlahm,4
التعامرة,870,beitlahm,4
العساكرة,816,beitlahm,4
المنشية,799,beitlahm,4
ابو نجيم,752,beitlahm,4
الشواورة,746,beitlahm,4
واد النيص,625,beitlahm,4
شارع المهد,536,beitlahm,4
معبر 300,524,beitlahm,4
مستشفى الحسين,519,beitlahm,4
مراح المعلا,517,beitlahm,4
الخاص,516,beitlahm,4
دار صلاح,515,beitlahm,4
عقبة حنا,514,beitlahm,4
المدبسة,509,beitlahm,4
مخيم العزة,508,beitlahm,4
دوار السينما,507,beitlahm,4
واد شاهين,506,beitlahm,4
الدوحة,505,beitlahm,4
حجيلة,504,beitlahm,4
جورة الشمعة,503,beitlahm,4
رفيديا,502,beitlahm,4
جبل هندازة,501,beitlahm,4
جامعة بيت لحم,500,beitlahm,4
دوار ارارات,499,beitlahm,4
الولجة,498,beitlahm,4
مخيم عايدة,497,beitlahm,4
شارع الكركفة,496,beitlahm,4
ساحة المهد,495,beitlahm,4
باب زقاق,494,beitlahm,4
الدهيشة,493,beitlahm,4
العبيدية,491,beitlahm,4
بيت ساحور,453,beitlahm,4
بيت جالا,452,beitlahm,4
بتير,451,beitlahm,4
واد فوكين,450,beitlahm,4
حوسان,449,beitlahm,4
الخضر,448,beitlahm,4
المينيا,447,beitlahm,4
كيسان,446,beitlahm,4
بيت فجار,445,beitlahm,4
خربة تقوع,444,beitlahm,4
واد محيميد,443,beitlahm,4
مراح رباح,442,beitlahm,4
تقوع,441,beitlahm,4
ام سلمونة,440,beitlahm,4
خلة عفانا,439,beitlahm,4
خربة الدير,438,beitlahm,4
المعصرة,437,beitlahm,4
خلة سكاريا,436,beitlahm,4
واد رحال,435,beitlahm,4
خلة البلوطة,434,beitlahm,4
جناتا(بد فلوح),433,beitlahm,4
الفريديس,432,beitlahm,4
زعترة,431,beitlahm,4
الجبعة,430,beitlahm,4
بيت تعمر,429,beitlahm,4
نحالين,428,beitlahm,4
ارطاس,427,beitlahm,4
كفير,998,Jenin,2
العصاعصه,977,Jenin,2
وادي دعوك,976,Jenin,2
دوار البطيخه,960,Jenin,2
مجمع التاج,933,Jenin,2
شارع البريد,932,Jenin,2
...,917,Jenin,2
شارع kfc,810,Jenin,2
مخيم جنين,807,Jenin,2
جنين البلد,805,Jenin,2
طلوع الغبز,795,Jenin,2
شارع الحسبه,782,Jenin,2
شارع الحسبه,781,Jenin,2
شارع النهضه,780,Jenin,2
الجامع الكبير,775,Jenin,2
مشفى الرازي,774,Jenin,2
شارع مشفى الامل والحكومي,773,Jenin,2
شارع المدارس,772,Jenin,2
العطاره,771,Jenin,2
النمر مول,770,Jenin,2
خروبة,766,Jenin,2
